index	director
495	('톰 후퍼', 'Tom Hooper')
496	('저스틴 린', 'Justin Lin')
497	('샘 레이미', 'Sam Raimi')
498	('스기이 기사부로', 'Gisaburo Sugii')
499	('기타노 다케시', 'Takeshi Kitano')
500	('유야마 쿠니히코', 'Kunihiko Yuyama')
501	('제임스 건', 'James Gunn')
502	('박흥식', 'PARK Heung-sik')
503	('팀 힐', 'Tim Hill')
504	('김지영', '')
505	('박희곤', '')
506	('도리스 되리', 'Doris Dorrie')
507	('알레한드로 몬테베르드', 'Alejandro Monteverde')
508	('프레디 M. 무러', 'Fredi M. Murer')
509	('울프강 라우엔슈타인', 'Wolfgang Lauenstein')
510	('조 카나한', 'Joe Carnahan')
511	('야기 류이치', 'Ryuichi Yagi')
512	('미키 타카히로', 'Takahiro Miki')
513	('마이클 치미노', 'Michael Cimino')
514	('카를로스 살다나', 'Carlos Saldanha')
515	('박훈정', 'Park Hoon-Jung')
516	('강효진', '')
517	('김기영', 'KIM Ki-young')
518	('아니쉬 차간티', 'Aneesh Chaganty')
519	('자코 반 도마엘', 'Jaco Van Dormael')
520	('정병길', 'Jung Byung-gil')
521	('제임스 L. 브룩스', 'James L. Brooks')
522	('토마스 맥카시', 'Thomas McCarthy')
523	('트래비스 파인', 'Travis Fine')
524	('존 파브로', 'Jon Favreau')
525	('이성재', '')
526	('남택수', '')
527	('장현수', '')
528	('우니 르콩트', 'Ounie Lecomte')
529	('킴벌리 피어스', 'Kimberly Peirce')
530	('대니 스트롱', 'Danny Strong')
531	('이창재', 'Lee Chang-jae')
532	('실뱅 쇼메', 'Sylvain Chomet')
533	('조 루소', 'Joe Russo')
534	('미야모토 히로아키', 'Miyamoto Hiroaki')
535	('아쉬가르 파라디', 'Asghar Farhadi')
536	('로랑 티라르', 'Laurent Tirard')
537	('호세 파딜라', 'Jose Padilha')
538	('양병간', '')
539	('테드 코체프', 'Ted Kotcheff')
540	('주성치', '')
541	('렌 와이즈먼', 'Len Wiseman')
542	('요네바야시 히로마사', 'Hiromasa Yonebayashi')
543	('수잔나 화이트', 'Susanna White')
544	('정지영', '')
545	('신조 타케히코', 'Takehiko Shinjo')
546	('임권택', 'IM Kwon Teak')
547	('앤디 테넌트', 'Andy Tennant')
548	('에머랄드 펜넬', 'Emerald Fennell')
549	('민백두', '')
550	('홍승완', '')
551	('비탈리 만스키', 'Vitali Mansky')
552	('스콧 스피어', 'Scott Speer')
553	('와카바야시 칸지', 'Kanji Wakabayashi')
554	('마틴 스코세이지', 'Martin Scorsese')
555	('아녜스 바르다', 'Agnes Varda')
556	('나가이 타츠유키', 'Nagai Tatsuyuki')
557	('플로리안 데이비드 핏츠', 'Florian David Fitz')
558	('가와세 나오미', 'Naomi Kawase')
559	('쿠와바라 사토시', 'Satoshi Kuwabara')
560	('배형준', '')
561	('백창주', '')
562	('배종', '')
563	('나카자와 쇼지로', 'Nakazawa Shojiro')
564	('카와무라 야스히로', 'Yasuhiro Kawamura')
565	('볼프강 베커', 'Wolfgang Becker')
566	('홍기선', 'HONG Ki-seon')
567	('김영탁', '')
568	('앤디 픽맨', 'Andy Fickman')
569	('앤드류 아담슨', 'Andrew Adamson')
570	('테라모토 유키요', 'Yukiyo Teramoto')
571	('이언희', '')
572	('베티 토마스', 'Betty Thomas')
573	('김유진', 'KIM Yoo-jin')
574	('커트 위머', 'Kurt Wimmer')
575	('이안', 'Ang Lee')
576	('야마자키 다카시', 'Takashi Yamazaki')
577	('이경규', '')
578	('백승환', 'Paek Seung Hwan')
579	('로드 루리', 'Rod Lurie')
580	('이석훈', '')
581	('존 거틴즈', 'John Gatins')
582	('칸치쿠 유리', 'Yuri Kanchiku')
583	('로버트 페르난데스', 'Robert Fernandez')
584	('크리스 샌더스', 'Chris Sanders')
585	('셰인 블랙', 'Shane Black')
586	('캘런 브런커', 'Callan Brunker')
587	('박혁지', 'PARK Hyuckjee')
588	('고봉수', 'KO Bong-soo')
589	('톰 홀랜드', 'Tom Holland')
590	('이은희', '')
591	('이환경', '')
592	('대니 보일', 'Danny Boyle')
593	('오모리 타츠시', 'Tatsushi Omori')
594	('마크 로렌스', 'Marc Lawrence')
595	('가우리 신드', 'Gauri Shinde')
596	('커티스 핸슨', 'Curtis Hanson')
597	('문소리', '')
598	('이재한', '')
599	('페이튼 리드', 'Peyton Reed')
600	('사이먼 커티스', 'Simon Curtis')
601	('프랭키 첸', 'Frankie CHEN')
602	('베노이트 필립폰', 'Benoit Philippon')
603	('시기노 아키라', 'Akira Shigino')
604	('데이비드 O. 러셀', 'David O. Russell')
605	('월트 도른', 'Walt Dohrn')
606	('사카이 무네히사', 'Munehisa Sakai')
607	('김달중', '')
608	('알렉스 켄드릭', 'Alex Kendrick')
609	('김성수', 'Sung Soo Kim')
610	('송원근', 'Song Won-Geun')
611	('테리 길리엄', 'Terry Gilliam')
612	('김지운', 'KIM Jeewoon')
613	('전수경', '')
614	('데이빗 맥낼리', 'David McNally')
615	('린-마누엘 미란다', 'Lin-Manuel Miranda')
616	('벤 르윈', 'Ben Lewin')
617	('존 스톡웰', 'John Stockwell')
618	('제레미 데그루손', 'Jeremy Degruson')
619	('롤랜드 에머리히', 'Roland Emmerich')
620	('김록경', 'Lokkyoung KIM')
621	('제이 로치', 'Jay Roach')
622	('에릭 라티고', 'Eric Lartigau')
623	('그레타 거윅', 'Greta Gerwig')
624	('토드 헤인즈', 'Todd Haynes')
625	('아시프 카파디아', 'Asif Kapadia')
626	('창감독', '윤홍승')
627	('김용진', '')
628	('방은진', 'Pang Eun Jin')
629	('이용승', 'LEE YONG-SEUNG')
630	('스콧 칼버트', 'Scott Kalvert')
631	('대런 아로노프스키', 'Darren Aronofsky')
632	('가이 퍼랜드', 'Guy Ferland')
633	('신카이 마코토', 'Makoto Shinkai')
634	('데이미언 셔젤', 'Damien Chazelle')
635	('장 피에르 주네', 'Jean-Pierre Jeunet')
636	('나가오카 치카', 'Nagaoka Chika')
637	('다카하시 아츠시', 'Atsushi Takahashi')
638	('박영균', 'Young Kyun Park')
639	('조스 웨던', 'Joss Whedon')
640	('유하', '')
641	('폴 페이그', 'Paul Feig')
642	('마이크 피기스', 'Mike Figgis')
643	('마틴 맥도나', 'Martin McDonagh')
644	('빔 벤더스', 'Wim Wenders')
645	('이수진', 'Lee Su jin')
646	('타카하시 시게하루', 'Shigeharu Takahashi')
647	('이재용', 'Je-Yong Lee')
648	('김기덕', 'Kim Ki-Duk')
649	('켄모치 사토키', 'Satoshi Kenmochi')
650	('전고운', 'JEON Gowoon')
651	('나카무라 요시히로', 'Yoshihiro Nakamura')
652	('샤론 맥과이어', 'Sharon Maguire')
653	('김한민', '')
654	('야마다 나오코', 'Naoko Yamada')
655	('존 왓츠', 'Jon Watts')
656	('모튼 틸덤', 'Morten Tyldum')
657	('첸 쿠오푸', '')
658	('알렉스 프로야스', 'Alex Proyas')
659	('피터 손', 'Peter Sohn')
660	('장 마크 발레', 'Jean-Marc Vallee')
661	('클림 시펜코', 'Klim Shipenko')
662	('강지은', '')
663	('질 미무니', 'Gilles Mimouni')
664	('데이빗 실버맨', 'David Silverman')
665	('빌 콘돈', 'Bill Condon')
666	('카메가키 하지메', 'Hajime Kamegaki')
667	('김초희', 'KIM Chohee')
668	('서태지', '')
669	('우시로 신지', 'Ushiro Shinji')
670	('노규엽', '')
671	('이해준', '')
672	('윤성준', 'Sungjun Youn')
673	('이즈츠 카즈유키', 'Kazuyuki Izutsu')
674	('오츠카 타카시', 'Takashi Otsuka')
